year,month,day,avg_air_temp,avg_rel_hum
2018,12,15,38.6,76.6
2018,12,16,38.6,77.1
2018,12,17,35.8,74
2018,12,18,32.8,81.4
2018,12,19,39.7,80.2
2018,12,20,43.8,90.9
2018,12,21,33.9,87.6
2018,12,22,34.4,81.5
2018,12,23,32.3,80.9
2018,12,24,31.5,78.6
2018,12,25,37.4,79.2
2018,12,26,36.6,77.4
2018,12,27,46,90.6
2018,12,28,35.1,83.1
2018,12,29,25.9,81
2018,12,30,28.2,88.2
2018,12,31,40.1,96.1
